"wrong","good"
"Gu?--a","Guía"
"gu?-as","guías"
"h?!bitat","hábitat"
"h?-brida","híbrida"
"hemodi?!lisis","hemodiálisis"
"herm??ticamente","herméticamente"
"herm??tico","hermético"
"h?-gado","hígado"
"Hidr??lisis","Hidrólisis"
"hidr??metro","hidrómetro"
"hidr?!ulico","hidráulico"
"hidr?!ulicos","hidráulicos"
"Hidr?!ulicos","Hidráulicos"
"hidr??xido","hidróxido"
"Hidr??xido","Hidróxido"
"higi??nico","higiénico"
"hipertensi??n","hipertensión"
"h??lice","hélice"
"homeop?!ticos","homeopáticos"
"identificaci??n","identificación"
"Identificaci??n","Identificación"
"ign?-fugos","ignífugos"
"ignici??n","ignición"
"ileostom?-a","ileostomía"
"iluminaci??n","iluminación"
"imitaci??n","imitación"
"Imitaci??n","Imitación"
"I?-mites","Iímites"
"importaci??n","importación"
"impresi??n","impresión"
"inal?!mbricos","inalámbricos"
"incineraci??n","incineración"
"inclinaci??n","inclinación"
"inclusi??n","inclusión"
"incorporaci??n","incorporación"
"indicaci??n","indicación"
"inducci??n","inducción"
"Inducci??n","Inducción"
"industrializaci??n","industrialización"
"infecci??n","infección"
"infestaci??n","infestación"
"Infiltraci??n","Infiltración"
"inflamaci??n","inflamación"
"informaci??n","información"
"Informaci??n","Información"
"inform?!tica","informática"
"ingenier?-a","ingeniería"
"iniciaci??n","iniciación"
"inmersi??n","inmersión"
"inorg?!nicos","inorgánicos"
"inscripci??n","inscripción"
"inserci??n","inserción"
"insobut?-lico","insobutílico"
"inspecci??n","inspección"
"Inspecci??n","Inspección"
"instalaci??n","instalación"
"Instalaci??n","Instalación"
"instant?!neos","instantáneos"
"integraci??n","integración"
"interconexi??n","interconexión"
"intoxicaci??n","intoxicación"
"introducci??n","introducción"
"investigaci??n","investigación"
"ionizaci??n","ionización"
"Irradiaci??n","Irradiación"
"irritaci??n","irritación"
"Isobut?-lico","Isobutílico"
"jam??n","jamón"
"Jam??n","Jamón"
"jardiner?-a","jardinería"
"Jos??","José"
"jurisdicci??n","jurisdicción"
"Jurisdicci??n","Jurisdicción"
"lavander?-a","lavandería"
"?!lcalis","álcalis"
"l?!ctea","láctea"
"l?!cteo","lácteo"
"le??a","leña"
"Le??n","León"
"liberaci??n","liberación"
"lixiviaci??n","lixiviación"
"L?!mina","Lámina"
"L?!minas","Láminas"
"l?-mite","límite"
"L?-mite","Límite"
"l?-mites","límites"
"L?-mites","Límites"
"l?!mparas","lámparas"
"l?-nea","línea"
"l?-neas","líneas"
"L??pez","López"
"l?-quidas","líquidas"
"l?-quido","líquido"
"L?-quido","Líquido"
"l?-quidos","líquidos"
"l?!ser","láser"
"l?!tex","látex"
"mam?-feros","mamíferos"
"manutenci??n","manutención"
"marcaci??n","marcación"
"marroquiner?-a","marroquinería"
"mar?-tima","marítima"
"Mar?-tima","Marítima"
"mar?-timo","marítimo"
"matr?-cula","matrícula"
"ma?-z","maíz"
"Ma?-z","Maíz"
"Mazatl?!n","Mazatlán"
"??mbolo","émbolo"
"m??dica","médica"
"m??dulo","módulo"
"M??dulo","Módulo"
"mec?!nica","mecánica"
"mec?!nicas","mecánicas"
"mec?!nicos","mecánicos"
"medici??n","medición"
"Medici??n","Medición"
"mediterr?!neo","mediterráneo"
"Mediterr?!neo","Mediterráneo"
"mel??n","melón"
"mensajer?-a","mensajería"
"mercanc?-as","mercancías"
"Mercanc?-as","Mercancías"
"meteorol??gico","meteorológico"
"met?!licas","metálicas"
"met?-lico","metílico"
"met?!lico","metálico"
"Met?!lico","Metálico"
"met?!licos","metálicos"
"metodolog?-a","metodología"
"Metrolog?-a","Metrología"
"Michoac?!n","Michoacán"
"microbiol??gico","microbiológico"
"microscop?-a","microscopía"
"m??ltiple","múltiple"
"m?-nima","mínima"
"m?-nimas","mínimas"
"m?-nimo","mínimo"
"m?-nimos","mínimos"
"modificaci??n","modificación"
"Modificaci??n","Modificación"
"modulaci??n","modulación"
"Modulaci??n","Modulación"
"monof?!sicos","monofásicos"
"monol?-tico","monolítico"
"monol?-ticos","monolíticos"
"movilizaci??n","movilización"
"m?!quina","máquina"
"m?!quinas","máquinas"
"M?!quinas","Máquinas"
"m?!s","más"
"m??sica","música"
"M??sica","Música"
"m??todo","método"
"M??todo","Método"
"Multil?-nea","Multilínea"
"m??vil","móvil"
"M??xico","México"
"m?!xima","máxima"
"m?!ximas","máximas"
"m?!ximo","máximo"
"m?!ximos","máximos"
"navegaci??n","navegación"
"?-ndice","índice"
"?-ndices","índices"
"neocupro?-na","neocuproína"
"neum?!ticas","neumáticas"
"ni??o","niño"
"nitr??geno","nitrógeno"
"n??mero","número"
"Normalizaci??n","Normalización"
"n?-quel","níquel"
"N?-quel","Níquel"
"n?-trico","nítrico"
"nutrici??n","nutrición"
"observaci??n","observación"
"obst?!culos","obstáculos"
"obtenci??n","obtención"
"Oc??ano","Océano"
"operaci??n","operación"
"Operaci??n","Operación"
"organizaci??n","organización"
"Organizaci??n","Organización"
"org?!nicos","orgánicos"
"orientaci??n","orientación"
"osti??n","ostión"
"ostom?-a","ostomía"
"otorrinolaringolog?-a","otorrinolaringología"
"ox?-geno","oxígeno"
"Pac?-fico","Pacífico"
"Pac?--fico","Pacífico"
"panificaci??n","panificación"
"par?!metros","parámetros"
"part?-cula","partícula"
"part?-culas","partículas"
"participaci??n","participación"
"pa?-s","país"
"pa?-ses","países"
"patolog?-a","patología"
"Patr??n","Patrón"
"p??blica","pública"
"p??blico","público"
"P??blico","Público"
"pel?-cula","película"
"perforaci??n","perforación"
"perfumer?-a","perfumería"
"pesquer?-a","pesquería"
"petr??leo","petróleo"
"Petr??leo","Petróleo"
"petrogr?!fico","petrográfico"
"petroqu?-micos","petroquímicos"
"planchadur?-a","planchaduría"
"planeaci??n","planeación"
"planificaci??n","planificación"
"Planificaci??n","Planificación"
"pl?!stico","plástico"
"pl?!sticos","plásticos"
"Pl?!sticos","Plásticos"
"pl?!tano","plátano"
"p??ndulo","péndulo"
"poblaci??n","población"
"??poca","época"
"Polar?-metros","Polarímetros"
"poli??ster","poliéster"
"pol?-ticas","políticas"
"Pol?-ticas","Políticas"
"port?!til","portátil"
"port?!tiles","portátiles"
"Port?!tiles","Portátiles"
"posici??n","posición"
"Posici??n","Posición"
"Potos?-","potosí"
"pr?!ctica","práctica"
"pr?!cticas","prácticas"
"Pr?!cticas","Prácticas"
"p??rdida","pérdida"
"precisi??n","precisión"
"Precisi??n","Precisión"
"preparaci??n","preparación"
"Preparaci??n","Preparación"
"prescripci??n","prescripción"
"presentaci??n","presentación"
"Presentaci??n","Presentación"
"preservaci??n","preservación"
"presi??n","presión"
"Presi??n","Presión"
"prestaci??n","prestación"
"Prestaci??n","Prestación"
"prevenci??n","prevención"
"Prevenci??n","Prevención"
"Previsi??n","Previsión"
"Procuradur?-a","Procuraduría"
"producci??n","producción"
"Producci??n","Producción"
"prohibici??n","prohibición"
"Promoci??n","Promoción"
"propulsi??n","propulsión"
"prospecci??n","prospección"
"protecci??n","protección"
"Protecci??n","Protección"
"proyecci??n","proyección"
"pr??rroga","prórroga"
"Pr??rroga","Prórroga"
"ps?-lido","psílido"
"??ptica","óptica"
"P?!tzcuaro","Pátzcuaro"
"qu?-mica","química"
"qu?-micas","químicas"
"qu?-mico","químico"
"Qu?-mico","Químico"
"qu?-micos","químicos"
"ra?-ces","raíces"
"radiaci??n","radiación"
"radiocomunicaci??n","radiocomunicación"
"radiodifusi??n","radiodifusión"
"Radiodifusi??n","Radiodifusión"
"radioel??ctrico","radioeléctrico"
"radiograf?-a","radiografía"
"radiolocalizaci??n","radiolocalización"
"radiolog?-a","radiología"
"radiotelefon?-a","radiotelefonía"
"?!rboles","árboles"
"?!rea","área"
"reacci??n","reacción"
"realizaci??n","realización"
"?!reas","áreas"
"recepci??n","recepción"
"reci??n","recién"
"recolecci??n","recolección"
"recomendaci??n","recomendación"
"reconstrucci??n","reconstrucción"
"recuperaci??n","recuperación"
"Recuperaci??n","Recuperación"
"redacci??n","redacción"
"Redacci??n","Redacción"
"refinaci??n","refinación"
"refiner?-as","refinerías"
"Refiner?-as","Refinerías"
"refracci??n","refracción"
"refract??metro","refractómetro"
"refrigeraci??n","refrigeración"
"regulaci??n","regulación"
"Regulaci??n","Regulación"
"regularizaci??n","regularización"
"rehabilitaci??n","rehabilitación"
"relaci??n","relación"
"remoci??n","remoción"
"renovaci??n","renovación"
"reparaci??n","reparación"
"Rep??blica","República"
"reproducci??n","reproducción"
"resoluci??n","resolución"
"Resoluci??n","Resolución"
"restauraci??n","restauración"
"retenci??n","retención"
"revalidaci??n","revalidación"
"revisar?!","revisará"
"revisi??n","revisión"
"Revisi??n","Revisión"
"revocaci??n","revocación"
"r?-gidos","rígidos"
"?!ridas","áridas"
"ri????n","riñón"
"R?-o","Río"
"Sacar?-metros","Sacarímetros"
"se??alamiento","señalamiento"
"Se??alamiento","Señalamiento"
"se??alizaci??n","señalización"
"Se??alizaci??n","Señalización"
"Secci??n","Sección"
"Secretar?-a","Secretaría"
"seg??n","según"
"segregaci??n","segregación"
"selecci??n","selección"
"Selecci??n","Selección"
"semiautom?!tica","semiautomática"
"semi?!ridas","semiáridas"
"sensibilizaci??n","sensibilización"
"separaci??n","separación"
"ser?!n","serán"
"siller?-a","sillería"
"s?-lice","sílice"
"S?-lice","Sílice"
"s??lido","sólido"
"s?-mbolos","símbolos"
"S?-mbolos","Símbolos"
"S?-ndrome","Síndrome"
"S??ptima","Séptima"
"subterr?!nea","subterránea"
"subterr?!neos","subterráneos"
"sulf??rico","sulfúrico"
"suspensi??n","suspensión"
"susten?-tico","sustenítico"
"tama??o","tamaño"
"Tames?-","Tamesí"
"t??cnica","técnica"
"T??cnica","Técnica"
"t??cnico","técnico"
"T??cnico","Técnico"
"tecnolog?-a","tecnología"
"telef??nico","telefónico"
"telefon?-a","telefonía"
"televisi??n","televisión"
"Televisi??n","Televisión"
"Tel??fono","Teléfono"
"tensi??n","tensión"
"terminolog?-a","terminología"
"Terminolog?-a","Terminología"
"termocontr?!ctil","termocontráctil"
"termopl?!stica","termoplástica"
"termopl?!sticas","termoplásticas"
"termopl?!stico","termoplástico"
"??tero","útero"
"tibur??n","tiburón"
"??til","útil"
"tintorer?-a","tintorería"
"tracci??n","tracción"
"transformaci??n","transformación"
"transfusi??n","transfusión"
"translaci??n","translación"
"transmisi??n","transmisión"
"Transmisi??n","Transmisión"
"traqueostom?-a","traqueostomía"
"trav??s","través"
"trif?!sicos","trifásicos"
"tri??xido","trióxido"
"t??rmico","térmico"
"Tr?!mites","Trámites"
"tr?!nsito","tránsito"
"t?-tulo","título"
"tuber?-as","tuberías"
"tur?-sticas","turísticas"
"tur?-sticos","turísticos"
"ubicaci??n","ubicación"
"ultrasonograf?-a","ultrasonografía"
"uni??n","unión"
"urostom?-a","urostomía"
"utilizaci??n","utilización"
"Utilizaci??n","Utilización"
"utilizar?!n","utilizarán"
"v?-a","vía"
"vac?-o","vacío"
"vacunaci??n","vacunación"
"Valoraci??n","Valoración"
"valvuloplast?-a","valvuloplastía"
"vaporizaci??n","vaporización"
"v?-as","vías"
"vegetaci??n","vegetación"
"veh?-culos","vehículos"
"Veh?-culos","Vehículos"
"verificaci??n","verificación"
"Verificaci??n","Verificación"
"versi??n","versión"
"vin?-cola","vinícola"
"Vizca?-no","Vizcaíno"
"v?!lidos","válidos"
"v?!lvula","válvula"
"V?!lvula","Válvula"
"v?!lvulas","válvulas"
"V?!lvulas","Válvulas"
"vol?!tiles","volátiles"
"v?-sceras","vísceras"
"xer??filo","xerófilo"
"??xido","óxido"
"Abb??","Abbe"
"aer??dromos","aeródromos"
"agrop??cuarios","agropecuarios"
"Alambr??n","Alambrón"
"alcoh??lica","alcohólica"
"Alcoh??lica","Alcohólica"
"alcoh??licas","alcohólicas"
"Alcoh??licas","Alcohólicas"
"am??nico","amoniaco"
"anal??gica","analógica"
"anal??gicas","analógicas"
"antibi??ticos","antibióticos"
"anticolisi??n","anticolisión"
"a??os","años"
"a??rea","aérea"
"a??reos","aéreos"
"arquitect??nicos","arquitectónicos"
"asim??trica","asimétrica"
"at??mica","atómica"
"At??mica","Atómica"
"atmosf??rica","atmosférica"
"Atmosf??rica","Atmosférica"
"at??n","atún"
"aut??nomas","autónomas"
"autom??viles","automóviles"
"Autom??viles","Automóviles"
"biol??gica","biológica"
"biol??gicos","biológicos"
"bios??lidos","biosólidos"
"camar??n","camarón"
"cat??dica","catódica"
"Cati??nicas","Catiónicas"
"cat??teres","catéteres"
"cefal??podos","cefalópodos"
"cetrifugaci??n","centrifugación"
"combust??leo","combustóleo"
"cong??nita","congénita"
"c??rvico","cérvico"
"c??rvidos","cérvidos"
"da??ados","dañados"
"diagn??stica","diagnóstica"
"diagn??sticas","diagnósticas"
"Diesela??El??ctrico","Diesel-Eléctrico"
"dom??sticas","domésticas"
"dom??sticos","domésticos"
"Dom??sticos","Domésticos"
"d??rmica","dérmica"
"ecol??gica","ecológica"
"efect??en","efectúen"
"elastom??rico","elastomérico"
"el??ctrica","eléctrica"
"el??ctricas","eléctricas"
"El??ctricas","Eléctricas"
"el??ctricos","eléctricos"
"El??ctricos","Eléctricos"
"electr??nicas","electrónicas"
"electr??nicos","electrónicos"
"Electr??nicos","Electrónicos"
"electrodom??sticas","electrodomésticas"
"electrodom??sticos","electrodomésticos"
"electroerosi??n","electroerosión"
"electromagn??tica","electromagnética"
"electromagn??ticas","electromagnéticas"
"end??micas","endémicas"
"eoloel??ctricas","eoloeléctricas"
"epidemiol??gica","epidemiológica"
"epizootiol??gica","epizootiológica"
"Epizootiol??gica","Epizootiológica"
"escari??metros","escariómetros"
"espectrofotom??trico","espectrofotométrico"
"Espectrofotom??trico","Espectrofotométrico"
"est??n","están"
"est??riles","estériles"
"est??ticas","estáticas"
"ex??ticas","exóticas"
"farmac??utica","farmacéutica"
"Farmac??utica","Farmacéutica"
"farmac??uticos","Farmacéuticos"
"F??cula","Fécula"
"flex??metros","flexómetros"
"Flux??metros","Fluxómetros"
"F??rmulas","Fórmulas"
"f??rreas","férreas"
"f??sforos","fósforos"
"f??siles","fósiles"
"gaster??podos","gasterópodos"
"gen??ricos","genéricos"
"geol??gicamente","geológicamente"
"Geom??trica","Geométrica"
"geom??tricas","geométricas"
"Geom??tricas","Geométricas"
"geom??tricos","geométricos"
"geot??rmicos","geotérmicos"
"G??mez","Gómez"
"g??neroAbiespara","géneroAbiespara"
"g??neros","géneros"
"g??nerosPinusyAbies","génerosPinusyAbies"
"gr??as","grúas"
"hal??genos","halógenos"
"helic??pteros","helicópteros"
"herm??ticas","herméticas"
"hipod??rmicas","hipodérmicas"
"h??lices","hélices"
"inmunodifusi??n","inmunodifusión"
"kil??metros","kilómetros"
"l??gicos","lógicos"
"Man??metros","Manómetros"
"m??dicas","médicas"
"m??dico","médico"
"m??dicos","médicos"
"M??dicos","Médicos"
"metrol??gicos","metrológicos"
"micr??metros","micrómetros"
"microbiol??gicas","microbiológicas"
"microbiol??gicos","microbiológicos"
"microm??tricos","micrométricos"
"m??ltiples","múltiples"
"m??ltiplex","múltiplex"
"mon??xido","monóxido"
"m??sculo","músculo"
"m??todos","métodos"
"M??todos","Métodos"
"m??tricas","métricas"
"M??tricas","Métricas"
"multifunci??n","multifunción"
"m??viles","móviles"
"neum??nica","neumática"
"Ni??as","Niñas"
"ni??os","niños"
"Ni??os","Niños"
"nucleoel??ctricas","nucleoeléctricas"
"odontol??gicos","odontológicos"
"Odorizaci??n","Odorización"
"oftalmol??gica","oftalmológica"
"organol??pticas","organolépticas"
"pat??genos","patógenos"
"p??blicas","públicas"
"p??blicos","públicos"
"peri??dica","periódica"
"peri??dicas","periódicas"
"perif??ricos","periféricos"
"per??xidos","peróxidos"
"??pocas","épocas"
"potabilizaci??n","potabilización"
"potenciom??trico","potenciométrico"
"Potenciom??trico","Potenciométrico"
"??pticas","ópticas"
"public??","publicó"
"Quer??taro","Querétaro"
"quir??rgicas","quirúrgicas"
"quir??rgicos","quirúrgicos"
"radiol??gica","radiológica"
"radion??clidos","radionúclidos"
"regasificaci??n","regasificación"
"remediaci??n","remediación"
"re??sen","reúsen"
"??rganos","órganos"
"sat??lites","satélites"
"??sea","ósea"
"se??ales","señales"
"Se??ales","Señales"
"Sider??rgica","Siderúrgica"
"silic??n","silicón"
"simb??licas","simbólicas"
"sint??ticos","sintéticos"
"sismol??gica","sismológica"
"sismol??gicas","sismológicas"
"s??lidas","sólidas"
"s??lidos","sólidos"
"s??molas","sémolas"
"son??metros","sonómetros"
"s??pticas","sépticas"
"??stos","éstos"
"subs??nicas","subsónicas"
"supers??nicas","supersónicas"
"t??","té"
"T??","Té"
"t??cnicas","técnicas"
"t??cnicos","técnicos"
"telef??nica","telefónica"
"telef??nicas","telefónicas"
"Telef??nicas","Telefónicas"
"telef??nicos","telefónicos"
"tel??fonos","teléfonos"
"Tel??fonos","Teléfonos"
"terap??uticos","terapéuticos"
"term??metros","termómetros"
"Term??metros","Termómetros"
"termoel??ctricas","termoeléctricas"
"terp??uticos","terapéuticos"
"t??nidos","túnidos"
"toxicol??gica","toxicológica"
"t??rmica","térmica"
"t??rmicas","térmicas"
"t??rmicos","térmicos"
"t??rminos","términos"
"t??xicos","tóxicos"
"ultras??nica","ultrasónica"
"volum??trica","volumétrica"
"??xidos","óxidos"
"155?C","155°C"
"155? C","155° C"
"180?C","180°C"
"96?G","96°G"
"96? G","96° G"
"Campa?a","Campaña"
"dise?o","diseño"
"electrodom?sticos","electrodomésticos"
"energ?tica","energética"
"?G","°G"
"incendio?Requisitos","incendio. Requisitos"
"L?mites","Límites"
"m?,","m³,"
"m?todos","métodos"
"P? O5","P³ O5"
"?T? modelo","“T” modelo"
"M??todo","Método"
"Vaquer?-as","Vaquerías"
"Contin??a","Continúa"
"Contin??an","Continúan"
"Zimap?!n","Zimapán"
"cancelar?!","cancelará"
"man??metros","manómetros"
"P?05","P³05"
"Radiocomunicaci??n","Radiocomunicación"
"psiqui?!trica","psiquiátrica"
"Tecnolog?-a","Tecnología"
"watthor?-metros","watthorímetros"
